"CubeId";"zimoma"
"PublishingDate";"2024-11-01 14:30"

"Date";"D0";"Value"
"2003-07";"EG3M";"0.099"
"2003-07";"SOFR";
"2003-07";"3M1";"1.11438"
"2003-07";"TONA";"0.002"
"2003-07";"SONIA";"3.1602"
"2003-07";"3M3";"3.44125"
"2003-07";"ESTR";
"2003-07";"EURIBOR";"2.121"
"2003-08";"SARON";"0.053337"
"2003-08";"1TGT";"0.08"
"2003-08";"EG3M";"0.119"
"2003-08";"SOFR";
"2003-08";"3M1";"1.14"
"2003-08";"TONA";"0.001"
"2003-08";"SONIA";"3.6208"
"2003-08";"3M3";"3.63188"
"2003-08";"ESTR";
"2003-08";"EURIBOR";"2.152"
"2003-09";"SARON";"0.145845"
"2003-09";"1TGT";"0.11"
"2003-09";"EG3M";"0.12"
"2003-09";"SOFR";
"2003-09";"3M1";"1.16"
"2003-09";"TONA";"0.013"
"2003-09";"SONIA";"3.8798"
"2003-09";"3M3";"3.725"
"2003-09";"ESTR";
"2003-09";"EURIBOR";"2.128"
"2003-10";"SARON";"0.113241"
"2003-10";"1TGT";"0.1"
"2003-10";"EG3M";"0.119"
"2003-10";"SOFR";
"2003-10";"3M1";"1.16938"
"2003-10";"TONA";"0.002"
"2003-10";"SONIA";"3.2044"
"2003-10";"3M3";"3.9475"
"2003-10";"ESTR";
"2003-10";"EURIBOR";"2.161"
"2003-11";"SARON";"0.117566"
"2003-11";"1TGT";"0.11"
"2003-11";"EG3M";"0.135"
"2003-11";"SOFR";
"2003-11";"3M1";"1.17188"
"2003-11";"TONA";"0.001"
"2003-11";"SONIA";"4.0423"
"2003-11";"3M3";"3.98313"
"2003-11";"ESTR";
"2003-11";"EURIBOR";"2.154"
"2003-12";"SARON";"0.126631"
"2003-12";"1TGT";"0.09"
"2003-12";"EG3M";"0.106"
"2003-12";"SOFR";
"2003-12";"3M1";"1.15188"
"2003-12";"TONA";"0.001"
"2003-12";"SONIA";"3.2895"
"2003-12";"3M3";"4.0375"
"2003-12";"ESTR";
"2003-12";"EURIBOR";"2.124"
"2004-01";"SARON";"0.098549"
"2004-01";"1TGT";"0.1"
